"",,,,,Maximum student,
"",,,,Field of,contribution amounts for,
"",,,,,,Commonwealth
Funding cluster,Part of funding cluster,,Unit description,education,2012,
"",,,,,,contribution
"",,,,code,(see footnotes for,
"",,,,,exceptions),
5 Funding cluster 5,"Clinical psychology,",Clinical psychology,,090701,"$5,648","$11,243"
"Clinical psychology,","foreign languages, or",Northern European Languages,,091503,,
"allied health, foreign",visual and performing,Southern European Languages,,091505,,
"languages, visual and",arts,Eastern European Languages,,091507,,
performing arts,,,,,,
"",,Southwest Asian and North African Languages,,091509,,
"",,Southern Asian Languages,,091511,,
"",,Southeast Asian Languages,,091513,,
"",,Eastern Asian Languages,,091515,,
"",,Australian Indigenous Languages,,091517,,
"",,Translating and Interpreting,,091519,,
"",,Performing Arts,,1001,,
"",,Visual Arts and Crafts,,1003,,
"",,Graphic and Design Studies,,1005,,
"",,Communication and Media Studies,,1007,,
"",,Other Creative Arts,,1099,,
"",Allied health,Pharmacy,,0605,"$8,050",
"",,Optical Science,,0609,,
"",,Indigenous Health,,061305,,
"",,Radiography,,0615,,
"",,Physiotherapy,,061701,,
"",,Occupational Therapy,,061703,,
"",,Chiropractic and Osteopathy,,061705,,
"",,Speech Pathology,,061707,,
"",,Audiology,,061709,,
"",,Podiatry,,061713,,
"",,Nutrition and Dietetics,,069901,,
"",,Paramedical Studies,,069905,,
"",,,,,4,
Funding cluster 6,Nursing,Nursing,,0603,"$5,648","$12,552"
Nursing,,,,,,
"",,,,,2,
Funding cluster 7,Science,Physics and Astronomy,,0103,"$4,520","$15,983"
"Engineering, science,",,Chemical Sciences,,0105,,
surveying,,Earth Sciences,,0107,,
"",,Biological Sciences,,0109,,
"",,Other Natural and Physical Sciences,,019900,,
"",,Forensic Science,,019903,,
"",,Food Science and Biotechnology,,019905,,
"",,Pharmacology,,019907,,
"",,Laboratory Technology,,019909,,
"",,Natural and Physical Sciences not elsewhere classified,,019999,,
"",Engineering or,Manufacturing Engineering and Technology,,0301,"$8,050",
"",surveying,Process and Resources Engineering,,0303,,
"",,Automotive Engineering and Technology,,0305,,
"",,Mechanical and Industrial Engineering and Technology,,0307,,
"",,Civil Engineering,,0309,,
"",,Geomatic Engineering,,0311,,
"",,Electrical and Electronic Engineering and Technology,,0313,,
"",,Aerospace Engineering and Technology,,0315,,
"",,Maritime Engineering and Technology,,0317,,
"",,Other Engineering and Related Technologies,,0399,,
Funding cluster 8,"Dentistry, medicine or",Medical Science,,019901,"$9,425","$20,284"
"Dentistry, medicine,",veterinary science,Medical Studies,,060100,,
"veterinary science,",,General Medicine,,060101,,
agriculture,,Surgery,,060103,,
"",,,,,,
"",,Psychiatry,,060105,,
"",,Obstetrics and Gynaecology,,060107,,
"",,Paediatrics,,060109,,
"",,Anaesthesiology,,060111,,
"",,Radiology,,060115,,
"",,Internal Medicine,,060117,,
"",,General Practice,,060119,,
"",,Medical Studies not elsewhere classified,,060199,,
"",,Dental Studies,,0607,,
"",,Veterinary Studies,,0611,,
"",Agriculture,Agriculture,,0501,"$8,050",
"",,Horticulture and Viticulture,,0503,,
"",,Forestry Sciences,,0505,,
"",,Fisheries Sciences,,0507,,
"",,Environmental Studies,,0509,,
"",,"Other Agriculture, Environmental and Related Studies",,0599,,
"",,Pathology,,060113,,
